task,seed,log_dir,status,final_best_metric,n_nodes,n_buggy
ctu-accidents_accidents-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-accidents_accidents-original__seed0,ok,0.287294,20,18
ctu-accidents_accidents-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-accidents_accidents-original__seed1,ok,,20,20
ctu-accidents_accidents-temporal,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-accidents_accidents-temporal__seed0,ok,,20,20
ctu-accidents_accidents-temporal,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-accidents_accidents-temporal__seed1,ok,,20,20
ctu-adventureworks_adventureworks-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-adventureworks_adventureworks-original__seed0,ok,4358.604591,20,9
ctu-adventureworks_adventureworks-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-adventureworks_adventureworks-original__seed1,ok,3445.060196,20,13
ctu-adventureworks_adventureworks-temporal,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-adventureworks_adventureworks-temporal__seed0,ok,103.616991,20,19
ctu-adventureworks_adventureworks-temporal,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-adventureworks_adventureworks-temporal__seed1,ok,3792.691112,20,8
ctu-atherosclerosis_atherosclerosis-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-atherosclerosis_atherosclerosis-original__seed0,ok,,20,20
ctu-atherosclerosis_atherosclerosis-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-atherosclerosis_atherosclerosis-original__seed1,ok,,20,20
ctu-adventureworks_adventureworks-temporal,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-adventureworks_adventureworks-temporal__seed0,ok,2406.429857,30,9
ctu-adventureworks_adventureworks-temporal,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-adventureworks_adventureworks-temporal__seed1,ok,2403.999462,30,11
ctu-atherosclerosis_atherosclerosis-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-atherosclerosis_atherosclerosis-original__seed0,ok,,30,30
ctu-atherosclerosis_atherosclerosis-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-atherosclerosis_atherosclerosis-original__seed1,ok,,30,30
ctu-basketballmen_basketballmen-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-basketballmen_basketballmen-original__seed0,ok,0.012444,30,19
ctu-basketballmen_basketballmen-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-basketballmen_basketballmen-original__seed1,ok,0.015605,30,22
ctu-basketballwomen_basketballwomen-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-basketballwomen_basketballwomen-original__seed0,ok,,30,30
ctu-basketballwomen_basketballwomen-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-basketballwomen_basketballwomen-original__seed1,ok,0.41502,30,19
ctu-biodegradability_biodegradability-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-biodegradability_biodegradability-original__seed0,ok,0.078449,30,17
ctu-biodegradability_biodegradability-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-biodegradability_biodegradability-original__seed1,ok,,30,30
ctu-diabetes_diabetes-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-diabetes_diabetes-original__seed0,ok,0.42668,30,16
ctu-diabetes_diabetes-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-diabetes_diabetes-original__seed1,ok,1.0,30,16
ctu-employee_employee-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-employee_employee-original__seed0,ok,11769.253775,30,26
ctu-employee_employee-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-employee_employee-original__seed1,ok,1918.572838,30,20
ctu-employee_employee-temporal,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-employee_employee-temporal__seed0,ok,89.21576,30,28
ctu-employee_employee-temporal,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-employee_employee-temporal__seed1,ok,12909.026498,30,25
ctu-expenditures_expenditures-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-expenditures_expenditures-original__seed0,error:RuntimeError,0.567108,25,22
ctu-expenditures_expenditures-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-expenditures_expenditures-original__seed1,ok,,30,30
ctu-financial_financial-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-financial_financial-original__seed0,ok,0.311375,30,28
ctu-financial_financial-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-financial_financial-original__seed1,ok,,30,30
ctu-hepatitis_hepatitis-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-hepatitis_hepatitis-original__seed0,ok,0.689955,30,27
ctu-hepatitis_hepatitis-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-hepatitis_hepatitis-original__seed1,ok,1.0,30,26
ctu-hockey_hockey-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-hockey_hockey-original__seed0,ok,0.248594,30,29
ctu-hockey_hockey-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-hockey_hockey-original__seed1,ok,0.669864,30,24
ctu-lahman_lahman-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-lahman_lahman-original__seed0,ok,1504939.233291,30,21
ctu-lahman_lahman-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-lahman_lahman-original__seed1,ok,11227.374195,30,13
ctu-lahman_lahman-temporal,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-lahman_lahman-temporal__seed0,ok,8211.606733,30,14
ctu-lahman_lahman-temporal,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-lahman_lahman-temporal__seed1,ok,1463279.110955,30,27
ctu-legalacts_legalacts-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-legalacts_legalacts-original__seed0,ok,0.690765,30,16
ctu-legalacts_legalacts-original,1,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-legalacts_legalacts-original__seed1,ok,0.889952,30,28
ctu-accidents_accidents-original,0,/Users/kunumi/Documents/aideml/data/heuristic_runs/logs/2-ctu-accidents_accidents-original__seed0,error:IndexError,,11,11,
